text,page
"A fully-functional but hard-to-use programming language like Whitespace or Hodor can be referred to as a tarpit named after this man. This non-American proved the Entscheidungsproblem was impossible and formalized that proof in a thesis with Alonzo Church. This man’s surname, the only proper noun in the acronym “CAPTCHA”, also describes a “machine” that can model any computer algorithm using an infinitely long tape. For 10 points, name this computer scientist who devised a way to measure human-like behavior in artificial intelligences with his namesake “test”. ",Alan_Turing
"An alleged miracle concerning this ritual occurred to a doubting monk in Lanciano, Italy. The words “do this in memory of me” are spoken during this ritual, at the end of which the reserved sacrament is placed in the tabernacle. 1 Corinthians 11:27-29 affirms that people in a state of mortal sin cannot participate in this ritual until they have undergone penance.  The doctrine of transubstantiation concerns this sacrament, which acts as a reenactment of the Last Supper. For 10 points, name this sacrament in which unleavened bread wafers and wine transform into the flesh and blood of Christ.",Eucharist
"This ruler was the ​elder​ of two monarchs who reformed feudal labor via “Robot Patents.” This ruler appointed Count Haugwitz to lead the ​Directorium​, streamlining government administration. This ruler’s minister Wenzel Anton von Kaunitz isolated Prussia in continental Europe by allying with France in the “Diplomatic Revolution.” This monarch lost Silesia during a war against Frederick the Great. She was the mother of Marie Antoinette and Joseph II, Archduke of Austria. For 10 points, name this queen who inherited the rule of the Habsburg Empire under the Pragmatic Sanction.",Maria_Theresa
"​Lack of FMRP, a protein associated with intellectual disability, is caused by a methylation-inducing repeat on this structure. The RNA genes ​Jpx​ and ​Ftx​, as well as the long noncoding RNA X-IST​ ​are involved in one process involving this structure. The calico coloring of some cats results from ​lyonization of these structures into Barr bodies. A “fragile” version of this chromosome can cause developmental problems, while monosomy of it leads to Turner’s syndrome. This chromosome is “linked” with color-blindness and hemophilia. For 10 points, name this non-Y sex chromosome, two of which normally yield a “female” phenotype.",X_chromosome
"One system developed by this thinker relies on whether things are ""said-of"" and ""present-in."" This thinker laid out ten basic types of things that are said in his work Categories, which comprises the first book in his collection Organon. He argued in favor of subjugating “natural slaves” as part of his theory of war, possibly encouraging the conquests of his most famous student. This man defined a certain branch of philosophy as “being qua being” in the follow-up to his treatise Physics. For 10 points, name this ancient Greek philosopher, the author of Metaphysics and Nicomachean Ethics and tutor of Alexander the Great.",Aristotle
"​A character in this play writes letters from her fictional lover to herself “always three times a week, and sometimes oftener.” In this play, a butler named Lane covers for another character when he eats all the cucumber sandwiches intended for his aunt. That character from this play states that “a man who marries without knowing ​Bunbury has a very tedious time of it,” referring to his practice of avoiding social obligations by pretending to visit an imaginary sick friend. In this play, Gwendolen and Cecily are courted by Algernon Moncrieff and Jack Worthing, who both adopt the title pseudonym. For 10 points, name this play by Oscar Wilde.",The_Importance_of_Being_Earnest
"The protagonist of this play says that its events are “a whore’s vengeance,” referring to a woman with whom he had an affair. A woman in this play refuses to save her husband from execution, stating that he has found his “goodness”; earlier, the same woman is arrested over an incident involving a needle. Reverend Parris’ daughter falls ill in this play after he catches her dancing around a fire in the forest. That event in this play was led by a slave from Barbados who claims she can speak to the devil, Tituba. The execution of John Proctor ends—for 10 points—what play by Arthur Miller about the Salem witch trials?",The_Crucible
"One account compares how the wind blew away a tuft of cotton to how this person rejected Tanha, Arati, and Raga, who were the three beautiful daughters of a demon-king. This person’s disciple, Khema, is said to have brought this figure’s tooth to Sri Lanka where it is venerated as a sacred relic. After this man saw the “four sights'' of an old man, a diseased man, a dead body, and an ascetic, he decided to become an ascetic himself. While meditating under a bodhi tree, this man achieved enlightenment. For 10 points, name this founder of an Indian religion, who is also known as Siddhartha Gautama. ",Gautama_Buddha
"This country’s alkaline Lake Natron is the namesake of a rare type of carbonite lava exuded by this country’s Ol Doinyo Lengai volcano. A local word for the sound of a cowbell gave its name to a large crater in this country’s Arusha Region, which also contains a site where Mary and Louis Leakey discovered many early hominid fossils, Olduvai Gorge. This country is home to most of a biodiverse region known for large migratory fauna, the Serengeti, whose northeast section lies in neighboring Kenya. For 10 points, name this East African country that was formed from Zanzibar and Tanganyika and whose biggest city is Dar es Salaam.",Tanzania
"Organisms in this phylum’s orders of Alcyonacea and Scleractinia are contrasted by being described as “soft” or “stony”, the former including certain “fans” and “whips” that maintain balance through statocysts. Signs warning of a member of this phylum that can cause Irukandji syndrome can be found on many Australian beaches. This phylum includes siphonophores like the Portuguese man o’ war, which resembles other animals in this phylum’s genuses of Cubozoa and Hydrozoa. Polyps and medusas are the two main body shapes of, for 10 points, what phylum whose namesake stinging cells can be seen in corals, anemones, and jellyfish?",Cnidaria
"In a short story by this author, a man recounts how, after listening to a Wagner opera, he was given enough bread to eat for two days. Johannes Bach’s The Well-Tempered Clavier inspired the structure of a novel by this author, which alternates between the perspectives of a teacher who meets the young writer Fuka-Eri and a woman who, after hearing Leoš Janáček’s Sinfonietta, concludes that she is in an alternate universe. In another work by this author, hearing an orchestral cover of a Ravi Shankar-influenced pop song causes Toru Watanabe to reflect on his life. For 10 points, name this Japanese author whose music-inspired novels include 1Q84 and Norwegian Wood. ",Haruki_Murakami
"This emperor engaged Locusta to poison cold water for Britannicus’s drink. This emperor’s general Suetonius Paulinus won the Battle of Watling Street over the Iceni. This emperor remarked that he had “begun to live like a human being” after his​ Domus Aurea was finished. Although this emperor defeated Vindex’s rebellion, Galba’s subsequent popularity caused him to commit suicide and ushered in the Year of the Four Emperors. For 10 points, name this emperor who supposedly fiddled during the Great Fire of Rome.",Nero
"A short story from this country follows a man who is either dying in a Paris hospital or being hunted to be sacrificed in the Blossom Wars; that story is “The Night Face Up.” Another short story from this country depicts the probable death by knife fight of its​ ​Martín Fiero-obsessed protagonist, Juan Dahlmann. The author of that story, “The South,” also wrote a story that takes the form of a deposition signed by Dr. Yu Tsun, a German spy. The universe is depicted as a series of infinite hexagonal rooms in “The Library of Babel,” another short story from this country by the author of ​Ficciones​. For 10 points, identify this home country of Julio Cortázar and José Luis Borges.",Argentina
"After coming of age, this hero lifted a giant boulder and retried the sword and sandals that the husband of Aethra left him. This hero had a son with Perigune after defeating her father, the bandit Sinis, who killed travelers by slingshotting them in the air via pine trees. One of this man's lovers married Dionysus after this man abandoned her on Naxos. This man killed the Marathonian bull rampaging around the countryside before finding out about Minos’ punishment of Athens. For 10 points, name this mythological hero who, with the help of Ariadne, overcomes the Labyrinth and defeats the Minotaur.",Theseus
"The denominator of the probability mass function for the Poisson distribution is equal to this function of the number of occurrences. For large values, the natural log of this function of ​n​ is roughly equal to ​n​ ln ​n​ – ​n​, according to an approximation named for Stirling. The sum of this function’s reciprocal over the natural numbers converges to Euler’s constant. This function is extended to complex numbers by the gamma function. The number of ways to order ​n​ distinct objects is equal to this function of ​n​. For 10 points, name this function whose​ nt​h value is equal to the product of all natural numbers up to ​n​, which is denoted by an exclamation point.",Factorial
