"text","page"
"This nation's highest point is Tajumulco Volcano, which forms part of the Sierra Madre range.  Principle rivers include the Motagua and Usumacinta, and one third of its territory lies in the Pet? region.  Prominent cities include Mixco and Villa Nueva, suburbs of the capital and largest city, and the southern trade center Quetzaltenango.  After Spanish, the most prominent language in this country is the Mayan tongue Quich?  The third largest country in Central America after Nicaragua and Honduras, FTP, identify this nation that is home to Miguel Asturias and Rigoberta Mench?.","Guatemala"
"This nation contains the once nominally independent Bantustans of Transkei, Venda, Ciskei, and Bophuthatswana. This nation's currency is the Rand, and its largest city lies in Gauteng province. Cape Agulhas is the southernmost point in this nation. The (*) Orange river defines part of its border with Namibia. Two of its capitals are Pretoria and Bloemfontein. For 10 points, name this country whose largest cities are Cape Town and Johannesburg, which hosted the 2010 World Cup.","South_Africa"
"This nation contains the once nominally independent Bantustans of Transkei, Venda, Ciskei, and Bophuthatswana. This nation's currency is the Rand, and its largest city lies in Gauteng province. Cape Agulhas is the southernmost point in this nation. The (*) Orange river defines part of its border with Namibia. Two of its capitals are Pretoria and Bloemfontein. For 10 points, name this country whose largest cities are Cape Town and Johannesburg, which hosted the 2010 World Cup.","South_Africa"
"Some northern tributaries of this river include the Sangha and the Likouala aux Herbes, while the Fimi and the Kwa Rivers drain the water from Lake Mai Ndombe into this waterway. This river was a trade artery for peoples who used Bondongo-style ceramics, and organized families around the ""etuka,"" or hearth stone. Its easternmost navigable point is a city today called Kisangani, where this river ends at the Boyoma Falls. An early polity near its mouth was the Bungu kingdom, who crossed this river to the ""hill of division"" to found a larger kingdom that controlled trade near the Malebo Pool of this river, and converted to Christianity under Portuguese influence. FTP, name this river that flows between Kinshasa and Brazzaville.","Congo_River"
"This river's delta, located partially in the state of Para, sometimes includes the large island of Marajo. Formed from the confluence of the Ucayali and Maranon rivers, cities along its banks include Manacapuru and Obidos. Its navigability changes near the capital of Loreto and Maynas in Peru, the city of Iquitos, as well as near the city of Manaus, where it receives one of its major tributaries, the Rio Negro. For 10 points, name this river that flows through much of Brazil, a long South American waterway.","Amazon_River"
"The Coco River forms part of this country's southern border, and it also contains Lake Yajoa (yah-HO-ah) in its west. The port city of Amapala can be found on its access to the Pacific Ocean. The Bay Islands are off its northern shore in the Caribbean Sea. In addition to containing the majority of the Gulf of Fonseca, this country also borders Nicaragua, El Salvador, and Guatemala. For 10 points, name this Central American country with its capital at Tegucigalpa (teh-GOO-CHEE-gul-pah).","Honduras"
"This city is located near Sugarloaf Mountain and its attractions include the Roman style aqueduct Arcos da Lapa and the Tijuca rainforest. Residents of this city are often called Cariocas, and it houses the Estadio do Maracana, the largest arena on its continent. Beaches near this city include Ipanema and Copaccabana. The Christ the Redeemer statue can be found in this city, which was the capital of its country until the creation of the planned city of Brasilia. For 20 points, name this tourist hotspot.","Rio_de_Janeiro"
"This country's sixteen regions were established in 2002 to follow natural watershed boundaries. In addition, it administers several territories, including the Chatham Islands and Tokelau. Southeast of the Tasman Sea, it was home to the extinct moa, who were hunted to extinction by its indigenous Maori peoples. The Cook Strait separates the two main landmasses of this nation also home to the kiwi bird. For 20 points, name this Pacific nation with capital Wellington and largest city Auckland, which has a North and South Island.","New_Zealand"
"The Yamana are the only still extant native tribe from this region. Though not in Mexico, this region includes Lapataia and Ensenada Bays. One mountain range in this region is known as the Cordillera Darwin. The city of Ushuaia in this region calls itself the ""End of the World,"" lies on the Beagle Channel, and is the southernmost city in the world. For 10 points, name this region between the Strait of Magellan and the Drake Passage, which is split between Chile and Argentina and whose name literally means ""land of fire.""","Tierra_del_Fuego"
"The now-shrunken Lake Moeris was once connected by the Bahr Yussef canal into this river The farthest reaches of this river are the infamously corpse-infested Akagera River and the Coptic-Church monastery paradise of Lake Tana. The later is the source of a ""Blue"" namesake of this river, which possesses six regions of rocky rapids known as Cataracts, the very first of which is at the sight of Aswan. For 10 points, identify this river that flows through Upper and Lower Egypt.","Nile"
"This country's national day celebrates the establishment of a settlement at Port Jackson. This country's highest point is named after a Polish general in the American Revolution, while its lowest point is located in its largest lake, Lake (*) Eyre. In its southwest is a vast, nearly treeless area known as the Nullarbor Plain. One province in this country, which was formerly known as Van Diemen's Land, is the island of Tasmania, and major cities in this country include Darwin and Perth. For 10 points, name this country whose capital is Canberra.","Australia"
"This river passes near the city of Kettle Falls, although the rapids that give the city its name no longer exist. Tributaries of this river include the Okanogan River, and this river passes through the artificial Franklin D. Roosevelt Lake. In 1979, the Chief Joseph Dam opened on this river. The 1915 opening of the Celilo Canal provided access to (+) Lewiston from this river, although the Celilo Falls were eventually flooded by the construction of The Dalles Dam on this river. An important source of power in the region comes from the Grand (*) Coulee Dam on this river. It is the largest North American river to flow into the Pacific Ocean. For 10 points, name this river that provides much of the border between Oregon and Washington State.","Columbia_River"
"This city's Tiradentes Palace is home to a state legislature, and its Tijuca National Park is one of the largest urban forests in the world. This city's Sambodrome is found on the Marques de Sapucai. Located on Guanabara Bay, this city's landmarks include a statue on (*) Corcovado Peak. The Avenida Atlantica is located near its Copacabana Beach, and Sugar Loaf Mountain is also found here. For 10 points name this Brazilian city which is overlooked by the Christ the Redeemer statue.","Rio_de_Janeiro"
"This nation's Podocarpus National Park is home to an endemic species of conifer and many other plants. The largest province of this country is Azuay. One island group controlled by this country includes Floreana Island and Isabela Island. This country is home to the farthest location from the (*) Earth's center, Mount Chimborazo. This country is home to the large active volcano Cotopaxi. Its largest city is Guayaquil. For 10 points, name this South American nation with capital at Quito.","Ecuador"
"This country's extinct Mt. Gambier forms four crater lakes and it is bounded to the north by the Arafura Sea. A treeless limestone plateau called Nullarbor Plain lies on its large southern bight. The Bass Strait separates an island state from its mainland, and this country's Cape Yorke Peninsula serves as a border to the Gulf of (*) Carpentaria and as the northern terminus of the Great Dividing Range. Other features of it include Lake Eyre and the Great Sandy Desert. Tasmania lies to the south of, for 10 points, what island nation whose largest city is Sydney?","Australia"
"Along with the state to its north, this state contains the Front Range Urban Corridor. The highest incorporated town in America, Leadville, is also found here. It is home to Mount Elbert and the Western Slope, which is the location of (*) Telluride, Vail, Aspen, and other ski resorts. This state, which forms the northeastern part of the Four Corners, contains Pike's Peak and cities such as Pueblo and Boulder. For 10 points, name this state whose capital is Denver.","Colorado"
"This island was briefly home to the breakaway Republic of Ezo, and William Smith founded an agricultural college here. This island is connected to its southern neighbor by the Seikan Tunnel and along with Rebun and several smaller islands, is coterminous with its nation's largest prefecture. Home to the (*) Ainu people, it lies south of Sakhalin and the Sea of Okhotsk. Cooler and drier than the rest of its country, the 1972 Winter Olympics were held in its largest city, Sapporo. For 10 points, name this northernmost of Japan's four main islands.","Hokkaido"
"This city's City Hall features a helical staircase and was designed by Norman Foster, and gardener Joseph Paxton designed the steel-and-glass Crystal Palace for its 1851 Great Exposition. It is home to the pedestrian Millennium Bridge, and its St. Paul's Cathedral was designed by Sir Christoper Wren in the aftermath of its (*) Great Fire in 1666. For 10 points, name this city on the Thames River whose Westminster Palace features the clock tower known as Big Ben, the capital of Great Britain.","London"
"This U.S. state contains the entirety of the Apalachicola River, which is formed at Jim Woodruff Dam from the Flint and Chattahoochee Rivers. Its most populous city, in Duval County, is located on the St. John's River and was once known as Cowford, while its westernmost major city is known as the City of the Five Flags and is located on a namesake (*) bay on the Gulf of Mexico. Also home to the Okeefenokee Swamp and Lake Okeechobee, for 10 points, name this U.S. state whose cities include Jacksonville and Pensacola and whose capital is Tallahassee.","Florida"
"This country's highest point is Nevado Ojos del Salado, found on its eastern border, and that mountain's range is responsible for the driest desert in the world, the (*) Atacama, in this country. Since 1990, this country's legislature has met in Valparaiso, a coastal city seventy-five miles north of its capital. For 10 points, name this country whose offshore holdings include Easter Island and which has a capital at Santiago.","Chile"
"A merchant ship found buried in this body of water is named for one of its coastal cities, Sinop. One explanation of its name is that 90% of this body of water lacks oxygen and contains the most abundant levels of hydrogen sulfide in the world. The Strait of Kerch connects this body of water to the Sea of (*) Azov, while it is connected to the Sea of Marmara by the Bosporus Strait. Sochi, the site of the 2014 Winter Olympics, lies on this body of water, as do the cities of Sevastopol, Yalta, and Odessa. For 10 points, name this large sea of Eastern Europe that lies north of Turkey.","Black_Sea"
"A lake near La Poudre Pass is considered to be the source of this river. Part of the southern stretch of this river forms the border between Sonora and Baja California. Near the city of Yuma, this river joins with the Gila River. In the 1900's, heavy rainfall caused this river to overflow and form what is now the Salton Sea. Lake (*) Mead was formed from the water of this river during the construction of the Hoover Dam. For 10 points, name this river of the Southwestern U.S. that forms the border between California and Arizona after flowing through the Grand Canyon.","Colorado_River"
"The western portion of this body of water contains the Small Sea Strait, which forms a passageway to its largest island of Olchon. The Angara, a tributary of the Yenisei, is the only river that flows out of this body of water located just south of the city of Irkutsk. One of the challenges of building the Trans-(*)Siberian railway was circumventing this body of water which lies north of Ulan Bator. For 10 points, name this source of roughly 20% of the world's fresh water, the deepest lake in the world located in eastern Russia.","Lake_Baikal"
"This region experiences a type of fog that is known as camanchaca. The main river that passes through this area is the Loa River. This region is bound on the west by the Cordillera de la (*) Costa and on the east by the Cordillera Domeyko. For 10 points, name this location often considered to be the driest on the Earth, which runs alongside the Andes Mountains and is a desert located in northern Chile.","Atacama_Desert"
"One section of this river is known as the ""Sea of the Mountains"" in Arabic and joins another section at Lake No. The Kiira Power Station lies on this river, as does the Merowe Dam, and cities on this river include Juba and Jinja. One tributary of this river has its origin at Lake Tana, and meets another tributary near (*) Khartoum. There are crossings of this river at Luxor and Aswan. For 10 points, name this African river whose main tributaries are the White and the Blue.","Nile"
"The Raja Ampat Islands and this island are the last habitats of the Northern cassowary. Michael Rockefeller disappeared while investigating this island's Asmat region. This island's highest point is Puncak Jaya, though its Mount Wilhelm is sometimes considered the highest point in Oceania. This island's western half was once known as (*) Irian Jaya; its eastern half is part of an independent country with capital at Port Moresby. For 10 points, name this island that includes Indonesia's West Papua province.","New_Guinea"
"The Treaty of Fort Stanwix involved acquisition of land south of this river. In the late 1700's, this river was the southern boundary of the Northwest Territory. The mouth of this river is located in Cairo, Illinois and this river flows through such cities as Wheeling and Evansville. The (*) Wabash is one of the largest tributaries of this river. In the heart of Pittsburgh, this river is formed by the joining of the Monongahela and Allegheny rivers. For 10 points, name this river which as its name suggests forms the southern border of a state with capital at Columbus.","Ohio_River"
"An October 2010 report noted that the Furtwängler Glacier near the summit of this mountain is rapidly melting. Home to the Chagga people, this mountain is known for Gilman's Point, a common stopping point located on the rim of a volcanic crater. Its actual summit of (*) Uhuru Peak can be reached by a variety of trails, many of which are accessible to those without climbing equipment. This mountain's name likely comes from Swahili. It is located in Tanzania. For 10 points, name this highest mountain in Africa.","Mount_Kilimanjaro"
"This nation contains the once nominally independent Bantustans of Transkei, Venda, Ciskei, and Bophuthatswana. This nation's currency is the Rand, and its largest city lies in Gauteng province. Cape Agulhas is the southernmost point in this nation. The (*) Orange river defines part of its border with Namibia. Two of its capitals are Pretoria and Bloemfontein. For 10 points, name this country whose largest cities are Cape Town and Johannesburg, which hosted the 2010 World Cup.","South_Africa"
"The Ripon (RIP-uhn) Falls at the outflow of this body of water are now submerged. Its features include the Winam (WIN-am) Gulf and the Sese (SAY-SAY) archipelago. Its Speke (SPEAK) Gulf is named for one explorer of this lake. Much of the water coming into this lake goes through the Kagera (kuh-GAIR-uh) River. Kampala (KAHM-pah-lah), the capital of (*) Uganda, is located nearby. This lake's only outlet is the Nile. For 10 points, name this largest lake by surface area in Africa, named for a British monarch.","Lake_Victoria"
"The ""Australian"" mountain range with this name is a section of the Great Dividing Range, and the ""Southern"" mountain range with this name is in New Zealand. The Jura (JOOR-uh) Mountains are a section of the major range with this name. The Brenner Pass, which is near (*) Innsbruck, runs through this mountain range, which includes the peaks of Jungfrau (YOONG-FROW) and Mont Blanc. The Matterhorn is another peak in this mountain range, which is the site of Lake Geneva. For 10 points, name this European mountain range that runs through Austria, Italy, France, and Switzerland.","Alps"
"A series of this city's Victorian houses were the first designated ""Painted Ladies."" A rotunda, lagoon, and colonnade comprise this city's Palace of Fine Arts, built for the 1915 Panama-Pacific Exposition. This city's tallest building is the glass pyramid-topped Transamerica Tower, and its Lombard Street contains a steep section with many hairpin turns. Another landmark in this city was the largest suspension bridge from 1937 to 1964 and is painted orange. For 10 points, name this site of the Golden Gate Bridge.","San_Francisco"
"The Raja Ampat Islands and this island are the last habitats of the Northern cassowary. Michael Rockefeller disappeared while investigating this island's Asmat region. This island's highest point is Puncak Jaya, though its Mount Wilhelm is sometimes considered the highest point in Oceania. This island's western half was once known as Irian Jaya; its eastern half is part of an independent country with capital at Port Moresby. For 10 points, name this island that includes Indonesia's West Papua province.","New_Guinea"
"This lake is completely surrounded by a scenic highway system called its namesake ""Circle Tour."" The Split Rock Lighthouse is located on this lake's shore. It lends its name to a reddish precipitate quartz, its namesake agate. The U.S.'s largest freshwater port by tonnage is on the ""North Shore"" of this lake, which also is home to Thunder Bay. This is the world's largest freshwater lake by surface area. For 10 points, name this largest of the Great Lakes.","Lake_Superior"
"The Ripon (RIP-uhn) Falls at the outflow of this body of water are now submerged. Its features include the Winam (WIN-am) Gulf and the Sese (SAY-SAY) archipelago. Its Speke (SPEAK) Gulf is named for one explorer of this lake. Much of the water coming into this lake goes through the Kagera (kuh-GAIR-uh) River. Kampala (KAHM-pah-lah), the capital of Uganda, is located nearby. This lake's only outlet is the Nile. For 10 points, name this largest lake by surface area in Africa, named for a British monarch.","Lake_Victoria"
"In 2007, this city began a controversial underground rail project called the Crossrail. In 2009, its mayor, Boris Johnson, saved a woman from a mugging while biking to work. In 2005, this city was rocked by a series of coordinated terrorist attacks on July 7. This city is in the process of constructing an Aquatics Centre, a Velopark (VELL-oh-park), and a Handball Arena as it is hosting the 2012 Summer Olympics. For 10 points, name this capital of the United Kingdom.","London"
"The Treaty of Fort Stanwix involved acquisition of land south of this river. In the late 1700's, this river was the southern boundary of the Northwest Territory. The mouth of this river is located in Cairo, Illinois and this river flows through such cities as Wheeling and Evansville. The Wabash is one of the largest tributaries of this river. In the heart of Pittsburgh, this river is formed by the joining of the Monongahela and Allegheny rivers. For 10 points, name this river which as its name suggests forms the southern border of a state with capital at Columbus.","Ohio_River"
"This country has been looked to as a model for its Bolsa Familia, a poverty-fighting program that employs conditional cash transfers. In January of 2011, over five hundred people died in a series of mudslides and floods in this country. This country has been led since 2003 by the Workers' Party, which is currently headed by Dilma Rousseff, after the retirement of longtime president Lula da Silva. For 10 points, name this largest South American country.","Brazil"
"An October 2010 report noted that the Furtwängler Glacier near the summit of this mountain is rapidly melting. Home to the Chagga people, this mountain is known for Gilman's Point, a common stopping point located on the rim of a volcanic crater. Its actual summit of Uhuru Peak can be reached by a variety of trails, many of which are accessible to those without climbing equipment. This mountain's name likely comes from Swahili. It is located in Tanzania. For 10 points, name this highest mountain in Africa.","Mount_Kilimanjaro"
"The ""Australian"" mountain range with this name is a section of the Great Dividing Range, and the ""Southern"" mountain range with this name is in New Zealand. The Jura (JOOR-uh) Mountains are a section of the major range with this name. The Brenner Pass, which is near Innsbruck, runs through this mountain range, which includes the peaks of Jungfrau (YOONG-FROW) and Mont Blanc. The Matterhorn is another peak in this mountain range, which is the site of Lake Geneva. For 10 points, name this European mountain range that runs through Austria, Italy, France, and Switzerland.","Alps"
"One tributary of this river is the Licking River. During the Civil War, this river was nicknamed the River Jordan, and it also served as an unofficial extension of the Mason-Dixon Line to the west. Its tributaries include the Wabash and the Allegheny, and its confluence with the Mississippi is near Cairo, Illinois. Cities on this river include Pittsburgh and Cincinnati. For 10 points, name this river whose namesake state has its capital at Columbus.","Ohio_River"
"This city was the inspiration for Ernest Burgess's concentric zone model of city growth. It contains a toll road known as the ""Skyway"", and this city's namesake river had its flow reversed in the early 20th Century as a sewage control measure. Home to Millennium Park and an 1893 World's Fair famous for its ""White City"", the downtown configuration of this city's elevated railways name its central business district, the Loop. For 10 points, name this ""windy"" city on Lake Michigan, the largest in Illinois and the entire Midwestern US.","Chicago"
"Landmarks in this city include the Gherkin and the Tower Bridge. A major island in this city's limits is the Isle of the Dogs, which is near its business district at Canary Wharf. This city instituted a high profile ""congestion charge"" in 2007. It often places installation art on the ""fourth plinth"" of its Trafalgar Square. This city's other attractions include a giant Ferris wheel called ""the Eye"" and a clock tower referred to as Big Ben. For 10 points, name this capital of England.","London"
"This state contains the northern part of Lake Powell and the northwestern part of this state is home to the Bonneville Salt Flats. This state, originally proposed as part of a larger state called Deseret, has its population centered in north central cities like Orem and Provo. The capital of this state is home to a massive temple for the Church of Latter Day Saints. For 10 points, name this western U.S. state with capital at Salt Lake City.","Utah"
"The Maghribian wadis run out of these mountains, as do the Moulouya and Chelif rivers. Mount Siroua links this chain's High and Anti ranges. The Taza Pass breaks this chain between the Rif and the Middle range of this system. The World War II Battle of the Kasserine Pass took place in this mountain system. The highest point in this range is Mount Toubkal. For 10 points, name this North African mountain system.","Atlas_Mountains"
"The Franz Joseph and Fox Glaciers can be found in this nation, notable for existing at low altitudes. Its largest lake, found in the caldera of Mount Tauhara, is drained by the Waikato River and is called Lake Taupo. Its region known as the Canterbury Plains is found to the south of Christchurch, while its tallest mountain is Mount Cook. Also including the city of Auckland, the Cook Strait separates its two constituent islands, which are called North and South Island. For 10 points, Wellington is the capital of which island nation found east of Australia?","New_Zealand"
"One of this river's largest tributaries joins it near the town of Buford before rising from the area around Younts Peak and Thorofare Mountain. It is stopped by the Oahe Dam and the Garrison Dam, the latter of which creates Lake Sakakawea. It receives the Milk and Musselshell Rivers near the Fort Peck Dam, while it is formed near the town of Three Forks from waterways including the Jefferson and Madison Rivers. It also flows past a series of cataracts called the Great Falls. For 10 points, name this U.S. river that joins the Mississippi near St. Louis.","Missouri_River"
