"text","page"
"While enslaved by Queen Omphale of Lydia, he was forced to dress up as a woman and do women's chores, though he eventually ended his bondage and married her. King Thespius asked this man to impregnate all fifty of his daughters, which he did in one night. This man made an agreement to help Laomedon kill a sea monster in exchange for the magic horses given to Laomedon by Zeus, but when Laomedon reneged, this man killed Laomedon and all his sons except Priam. His affair with Iole led his third wife Deianira to kill him by mistake. After he died, he married Hebe. For 10 points, name this hero who went mad and killed Megara, resulting in his twelve labours.","Heracles"
"He was once attacked and wounded by Parasurama, and in his incarnation as Vighnaraja, he rides the naga king Shesha. Garuda was once tasked with reacquiring an item this figure lost after being gazed upon by Sani. He is often depicted riding on a mouse, and the goad he holds in his upper right hand is used to remove obstacles from mankind. One story claims this figure married two women after he beat his brother Karttikeya in a race around the world. He was supposedly born from the dirt his mother wiped off of her leg while she was trying to take a bath in privacy from her husband. For 10 points, name this son of Shiva and Parvati, a Hindu god with the head of an elephant.","Ganesha"
"In Peruvian legend, it is associated with a deity named Coniraya who tricked the virgin deity Cavillaca by slipping her his semen in the form of a fruit she unknowingly ate.  The  Maori deity associated with it was named Marama, while an Aztec god associated with this, Tecciztecatl [tek-is-the-cah-tul], was also associated with slugs.  The Norse personification of it was the son of Mundilfari who was constantly harassed by Hati.  An Indian god of it was named Chandra, while the Chinese goddess of it was Heng O.  A Greek goddess of it was the daughter of Hyperion and Theia who fell in love with Endymion.  FTP, name this celestial body associated with Selene.","Moon"
"This god gave the horse Gullfaxi to his son Magni after killing the giant Hrungnir with the help of his servant Thialfi. This god disguised himself as Freya to reclaim his weapon from Thrym, and will kill the Midgard Serpent at Ragnarok, only to die from its poison. He kills his enemies with lightning bolts from his hammer, Mjollnir. For 10 points, name this Norse god of thunder.","Thor"
"Often depicted as bearded man, either green or black in color and swathed like a mummy, this Egyptian deity is credited with the introduction of agriculture. In myth he is drowned and dismembered, only to be resurrected later by his wife. For 10 points, name this god, husband of Isis, an archetype of death and rebirth, who became the Egyptian lord of the dead.","Osiris"
"This man's return home was expedited when his lover murdered her brother Apsyrtus. Two of this hero's men, Zetes and Calais, drove the harpies away from Phineas. Sent from Iolchos by his conniving uncle Pelias, this man arrived at Colchis, where Medea helped him obtain the golden fleece. This hero sailed in a ship with a prophetic prow along with Greece's greatest heroes. For 10 points, name this leader of the Argonauts.","Jason"
"In one story, this god disguises himself as the farmhand Bolverk in a successful attempt to retrieve the Mead of Poetry. This god sits atop the ""high place"" of Hlidskjalf, and that which he cannot see is recalled to him by his two ever-circling ravens, Hugin and Munin. This god, who hung from the world tree on the spear Gungnir to earn mastery of the runes, will be swallowed whole by the wolf Fenrir at Ragnarok. For 10 points, name this one-eyed chief god of the Norse pantheon.","Odin"
"At one point, this god had to kill someone who was protected from death at day and night, and both inside and outside of houses, and did so by killing that enemy on a threshold at twilight. He performed that feat in the form of Narasimha (NAH-rah-SIM-ha), a lion. This god also takes forms such as the fish Matsya (MOTS-yah) and the heroes Rama and Krishna, which are some of his ten avatars. For 10 points, identify this Hindu ""preserver"" god, who forms the Trimurti (treh-MORE-tee) with the creator Brahma and destroyer Shiva.","Vishnu"
"According to one source, this man becomes immortal after he is bathed in the river Numicus. This character kills the leader of the Rutulians named Turnus. He courts a daughter of king Latinus named Lavinia after using a golden bough to descend to the underworld. His embarkation from Carthage causes Dido to throw herself on a funeral pyre. This character escapes from the ruins of Troy with his father Anchises. For 10 points, name this protagonist of an epic by Vergil.","Aeneas"
"In Ovid's Metamorphoses, the hero Caenus is killed when some of these creatures pile rocks and trees on top of him. Another incident involving them occurred when one named Eurytion attempted to abduct Hippodameia at her wedding, leading to a battle between these creatures and the Lapiths. Other members of this race included Nessus, whose blood was used to kill Heracles, and the tutor of Jason and Achilles, Chiron. For 10 points, name this mythological race of creatures who were half man and half horse.","Centaur"
