"text","page"
"One division in this group occurred over whether intellect and consensus can supplement scripture in divine law. That argument between the Usulis and the Akhbaris occurred in a sect of this distinct from that which included the Qarmatians and the Assassins, and from which the Druze split off, the Ismailis. This religious group commemorates the defeat at the Battle of Karbala on the tenth of Muharram, known as Ashura. One sect of this belief system is known as the Twelvers, after the number of imams its adherents accept. For 10 points, name this religious system which supports Ali as the divinely chosen successor of Muhammad, a major branch of Islam along with Sunnism.","Shia_Islam"
"One of its leaders believed that the devilish race created by an evil ""big head scientist"" was to hold power for six thousand years ending in 1914.  That evil scientist died at the age of 150 on the island of Patmos, after he had performed his malign work of grafting the brown germ out of people, thereby forming a new race.  Following its attack on the Hanafi Center, Warith Deen took over leadership, changed its name twice, and then disbanded it, prompting the formation of three splinter movements.  This movement, which believes in the sinister Mr. Yakub, was founded in Detroit by a fabric seller named Wallace Fard who called himself the ""Prophet"" but who disappeared soon after, leaving it in the hands of Elijah Muhammad.  FTP, name this organization whose fame was spread by Malcolm X.","Nation_of_Islam"
"In the Middle Ages, it was widely believed that this man was buried at Susa.  He was taken to court as a boy during the fourth year of the reign of Joakim, where he was assigned the eunuch Asphenez as his tutor.  Later, he changed his name to Baltassar at the same time that his friends Misael, Ananias, and Azarias changed their names.  Later still, the prophet Habbakuk was carried by the hair from Judea to feed him lunch when he was in captivity.  Many of his prophecies concern Antiochus Epiphanes, who appears as the ""little horn"" in the prophecy of the four beasts.  One portion of his book features the Song of the Three Children, while others concern the rescue of Joachim's wife and the episode of Bel and the Dragon.  FTP, identify this companion of Shadrach, Mesach, and Abednego who was thrown into the lions' den.","Daniel"
"Only an elite of initiates, known as uggal, can participate in all of their religious services.  In times of persecution, its practitioners are granted the right of taqiya, or ability to openly lie about their true faith.  This rule and many others come from the secret hikmah, their religious doctrine.  As a religion it began spreading in Cairo in the early 11th-century AD and moved to its current power base under the 19th-century Shihab family.  FTP, name this Middle Eastern religious sect that exists primarily in Lebanon.","Druze"
"Its eighth chapter discusses the injustices of Antiochus IV Epiphanes and its ninth chapter reinterprets Jeremiah's prophecy. The Catholic version of this book includes the Song of the Three Young Men and the Prayer of Azariah, and Hananiah and Mishael are friends of this book's title figure. The title figure describes the meaning of a tree reduced to a stump and handwriting on the wall to Belshazzar. For 10 points, name this book of the Bible whose title figure is sent to the lion's den.","Daniel"
"This belief system's apocalypse is called Frashokereti, and one heresy in this belief system was called Zurvanism. Funerary rites in this religion include leaving the dead on raised platforms called towers of silence, and the primary conflict between good and evil in this religion is represented by the beings Ahura Mazda and Ahriman. For 10 points, name this religion named after a certain Persian prophet.","Zoroastrianism"
"The doctrine of this practice is derived from a conversation between Jesus and Nicodemus in John 3:5. One figure famous for performing this practice called himself a ""voice in the wilderness"" and was beheaded by Herod Antipas. A now-repudiated doctrine held that infants who died without undergoing this went to limbo. It was practiced by a certain man named John near the River Jordan. For 10 points, name this sacrament in which water washes away original sin.","Baptism"
"One important figure in this religion married Mary Maxwell, who transcribed sayings by that man. This religion features a nineteen-month calendar whose months have names such as ""Power"" and ""Questions,"" while one plan instituted by this religion was the Ten Year World Crusade. One symbol of this religion is the nine-pointed star, and this religion's primary text is the (*) Book of Certitude. Its governing body meets at the Universal House of Justice in Haifa, Israel. For 10 points, name this religion whose leaders have included Shogi Effendi its founder, Baha'u'llah.","Bahá'í_Faith"
"The creation myth of this religion includes a story about the so-called ""Leech Child."" Another story in this religion tells how Amenouzume (AH-men-oh-oo-zoo-may) drew the sun goddess out of a cave. Harae is a purification rite in this religion, which includes (*) ujigami and hitogami divisions. Izanagi and Izanami are the main figures in this religion's creation story, and Amaterasu (ah-MAH-teh-RA-soo) is this religion's sun goddess. For 10 points, kami are deities in what Japanese religion that once promoted deification of the emperor?","Shinto"
"One division of this text is into seven manazil for the purpose of its recitation over the course of a week. Its verses are individually known as ayat, and the study of the meaning of those verses is known as ta'wil. It is split into 114 chapters, each of which, with the exception of the first, are generally arranged in order of descending length. Those chapters, which include the notable second one, the (*) ""Cow,"" are called suras. Believed to have been revealed by Gabriel to Muhammad, for 10 points, name this holy text of Islam.","Quran"
"People celebrating this holiday often sing the songs ""Mi Y'maleil?"" (ME UH-mal-ell) and ""Ma'oz Tzur"" (MAH-oz TSUHR). This holiday takes place on the twenty-fifth day of Kislev, and commemorates the successful rebellion against Antiochus IV by the sons of Mattathias. During this holiday, believers give gifts of gelt, eat (*) latkes, and gamble by spinning a dreidel. This holiday celebrates an oil lamp in the Second Temple miraculously lasting eight days by having people light eight candles on a menorah. For 10 points, name this Jewish wintertime holiday.","Hanukkah"
"In this book, a man's valor is revealed when the emperor has the court records read to him to help him fall asleep. One character in this book is rewarded by being led around on the king's horse. The book culminates on the Thirteenth of Adar, the date of a mass extermination that was called when (*) Mordechai failed to bow to a court official. This book of the Old Testament is named for the wife of Ahasuerus (ACH-hash-VER-us), who attempts to stop Haman's plot to kill the Jews. For 10 points, name this book that is the basis for the Jewish holiday of Purim.","Book_of_Esther"
"This religion's marriage ceremony includes the engagement ritual Kurmai, which involves the singing of wedding hymns, or laavas. Practitioners of it demonstrate kesh and wear an iron bracelet called a kara. The sacred song (*) ""Japji Sahib"" follows the Mul (mool) Mantra in its sacred text, which was compiled by this religion's fifth leader, Arjun Dev Ji. That book, the Adi Granth, contains many sayings of this religion's founder Guru Nanak. For 10 points, name this north Indian religion, which blends Hindu and Muslim traditions.","Sikhism"
"King Shuddhodana kept this husband of Yashodhara in seclusion for the first twenty-nine years of his life. Upon leaving that seclusion, this man went on four trips, seeing on the trips an old man, a sick man, a corpse, and an ascetic. This man later decided that the best choice was the Middle Way. Mara attacked this man when he sat underneath the (*) Bodhi (BO-dee) Tree. For 10 points, name this man who came to understand the Four Noble Truths after he reached nirvana, and whose teachings formed the basis for an eponymous religion.","Gautama_Buddha"
"According the Farrer Hypothesis, this book was written last out of a certain group of three ""synoptic"" books. Its use of medical language and dedication to Theophilus is evidence that its author also wrote (*) Acts of the Apostles. The Beatitudes are stated in the beginning of its Sermon on the Plains, and it is the only Gospel that contains the parables of the Prodigal Son and the Good Samaritan. Coming after Mark, this is, for 10 points, what third and longest of the canonical Gospels?","Gospel_of_Luke"
"One doctrine held by this religious group is ""occultation"", which claims that the Mahdi was born but disappeared from human contact. Sects within this group include the more mystical Ismailis, and the majority Twelvers. These adherents believe in a series of divinely appointed imams and reject the caliphs in favor of Muhammad's (*) cousin Ali. This group is currently most prominent in Iraq and Iran. For 10 points, name this smaller of the two major branches of Islam, along with Sunni.","Shia_Islam"
"This man documented his conversion in Commentary on the Book of Psalms. He was invited by Martin Bucer to lead refugees at the town of Strasbourg, which he had unsuccessfully attempted to visit during a trip that ended at another place. At that location, this man aided William Farel in reforming the church and denounced the heretic (*) Michael Servetus. His magnum opus had a preface addressed to Francis I on the behalf of persecuted Huguenots. For 10 points, name this author of Institutes of the Christian Religion who led the Reformation in Geneva.","John_Calvin"
"On the eve of this holiday, some followers perform the kapporot (kah-pah-ROHT) ritual of swinging a chicken over their heads. The Al Cheit (ahl KHAYT) and Ashamnu (ah-SHAHM-noo) are two prayers of this holiday, which once included the pronunciation of the Tetragrammaton by the High Priest. It closes with the Ne'ila (neh-EE-lah) service and includes the Aramaic (*) Kol Nidre (KOHL nee-DRAY) prayer. Requiring a twenty-five hour fast, it occurs on the tenth of Tishrei, five days before Sukkot (soo-KOHT) and about nine days after Rosh Hashana. For 10 points, name this Jewish day of atonement.","Yom_Kippur"
"This figure responds to Adonijah's request to marry Abishag by having him murdered. According to Jewish tradition, this Biblical figure wrote the Book of Proverbs. On the advice of Nathan, this son of Bathsheba was anointed king. He traded for cedar from Lebanon to build the first (*) Temple, and resolved a dispute between two women both claiming to be a baby's mother by ordering the baby to be cut in half. For 10 points, name this son of David, a legendarily wealthy and wise Jewish king.","Solomon"
"When this man stopped at a well at Midian, he so impressed Hobab by his defense of a group of seven shepherdesses that he received Hobab's daughter Zipporah in marriage. This man's grandfather was Levi, and his parents were Amram and Jochebed. As a baby, he was placed in a basket of reeds and sent to the care of an (*) Egyptian woman because it had been decreed that all Hebrew male children were to be drowned in the Nile River, as related in the book of exodus. For 10 points, name this Biblical figure who parted the Red Sea.","Moses"
"This man issued a pledge under a tree to confirm the loyalty of his subjects in the face of a possible deception following the Treaty of Hudabiyyah. He conquered an oasis at the Battle of Khaybar, while earlier he had attempted to foil his opponent's superior numbers and cavalry by digging the namesake structure at the Battle of the Trench. He had earlier emerged victorious at the battles of Uhud and Badr, which he won for the forces of the city of (*) Medina; he had journeyed to Medina from Mecca in the Hijra. For 10 points, name this man, a prophet and general who founded Islam.","Muhammad"
"In one incident in this book, Coriantumr (kuh-RYE-an-toom-urr) decapitates Shiz, who continues to stand up and struggle for breath for several moments afterwards. Other episodes in this text include the emigration of the ""brother of Jared"" and the war between the Nephites and the Lamanites. The same organization that follows this text believes that in 1830, a man used a pair of glasses, called Urim and Thummim, to decode this work from (*) gold plates buried in the ground. For 10 points, identify this central book of a Christian denomination founded by Joseph Smith.","Book_of_Mormon"
"One leader of this religion was responsible for the building of the Harimandir, the holiest of this religion's gurdwaras. Another leader of this religion set up a community of initiates within the religion known as Khalsa. Members of that group in this religion must wear long hair, a comb, and dagger as part of the five K's. This religion's leaders have included (*) Nanak and Gobind Singh, who were two of the ten human gurus. For 10 points, name this Indian religion whose scripture is the Adi Granth and whose Golden Temple is found in Amritsar.","Sikhism"
"The event celebrated in this holiday fulfilled the prophecy made in Joel 2:28-29. On this holiday, churchgoers wear red clothing, and roses are sometimes scattered from the ceiling. Celebrated on Whitsunday, this holiday commemorates an event in which 3,000 people were baptized after tongues of (*) flame appeared over the apostles' heads, allowing them to speak in tongues. For 10 points, name this festival celebrated fifty days after Easter.","Pentecost"
"A rite of this religion sees a kannushi bless the groundbreaking ceremonies of buildings. After receiving an unfavorable fortune at a temple for this religion, tradition mandates tying the fortune to a tree or fence at that jinja. One festival of this religion symbolizing death and rebirth centers around rebuilding a temple every (*) twenty years. This religion became its home country's official state religion during the Meiji period. For 10 points, name this animistic Japanese religion that reveres kami.","Shinto"
"Elihu bemoans the attitude of the friends of this man. Those three friends blame this man's misfortunes as being the fault of this man, but they cannot find what that fault may be. This man's misfortunes begin after the Devil tries to convince God that this man is only (*) pious because of his good fortune. The story of this man is an explanation of why bad things happen to good people. For 10 points, name this man who remains faithful to God despite all the tests he is put to in a namesake book of the Old Testament.","Book_of_Job"
"This figure's birthday is celebrated on the 8th of the 4th month of Chinese lunar calendar, and many of the myths surrounding his birth are collected in the Jataka tales. This figure delivered his first sermon in the Deer Park at Benares. His witnessing of the Four Sights and his meditation under the (*) Bodhi tree led him to the Four Noble Truths. For 10 points, name this founder of Indian religion with Theravadan and Mahayanan sects, also known as Siddhartha Guatama.","Gautama_Buddha"
"The book in which this character appears has a story about a goat with a single horn that is replaced by four smaller horns. This character insists on consuming nothing but vegetables and water after refusing the king's meat. Gabriel interrupts this man after he makes the prediction that the time of captivity for his people will be seventy weeks. In one incident, this character goes to the feast of (*) Belshazzar to interpret the writing on the wall. For 10 points, name this Bible character known for interpreting dreams who was thrown into the lion's den.","Daniel"
"The Kebra Nagast says this Biblical figure was the male progenitor of a line that ended in the reign of Haile Selassie. One of this figure's books contains the line ""Please, catch for us the foxes in the vineyard"" ""the little foxes."" The seven hundred wives of this figure ""turned his heart after other gods,"" except for Naamah. This figure was the last ruler of a united Israel, wrote (*) Ecclesiastes and Song of Songs, and was visited by the Queen of Sheba. For 10 points, name this wise ruler of Israel, the son of David.","Solomon"
