text,page
"This author described Galápagos tortoises in his story “The Encatadas”, and another of his stories ends with Bannadonna being killed near the title “Bell-Tower”. Another short story by this author ends with the narrator saying “Ah humanity!” while lamenting a dead co-worker of Nippers and Turkey. This author of The Piazza Tales also created the Parsi harpooner Fedallah and the tattoo-covered Queequeg, both of whom work on The Pequod. For 10 points, name this author of Billy Budd, “Bartleby, the Scrivener”, and a novel about Captain Ahab’s pursuit of the white whale Moby Dick.",Herman_Melville
"This country’s alkaline Lake Natron is the namesake of a rare type of carbonite lava exuded by this country’s Ol Doinyo Lengai volcano. A local word for the sound of a cowbell gave its name to a large crater in this country’s Arusha Region, which also contains a site where Mary and Louis Leakey discovered many early hominid fossils, Olduvai Gorge. This country is home to most of a biodiverse region known for large migratory fauna, the Serengeti, whose northeast section lies in neighboring Kenya. For 10 points, name this East African country that was formed from Zanzibar and Tanganyika and whose biggest city is Dar es Salaam.",Tanzania
"Organisms in this phylum’s orders of Alcyonacea and Scleractinia are contrasted by being described as “soft” or “stony”, the former including certain “fans” and “whips” that maintain balance through statocysts. Signs warning of a member of this phylum that can cause Irukandji syndrome can be found on many Australian beaches. This phylum includes siphonophores like the Portuguese man o’ war, which resembles other animals in this phylum’s genuses of Cubozoa and Hydrozoa. Polyps and medusas are the two main body shapes of, for 10 points, what phylum whose namesake stinging cells can be seen in corals, anemones, and jellyfish?",Cnidaria
"This emperor engaged Locusta to poison cold water for Britannicus’s drink. This emperor’s general Suetonius Paulinus won the Battle of Watling Street over the Iceni. This emperor remarked that he had “begun to live like a human being” after his​ Domus Aurea was finished. Although this emperor defeated Vindex’s rebellion, Galba’s subsequent popularity caused him to commit suicide and ushered in the Year of the Four Emperors. For 10 points, name this emperor who supposedly fiddled during the Great Fire of Rome.",Nero
"An alleged miracle concerning this ritual occurred to a doubting monk in Lanciano, Italy. The words “do this in memory of me” are spoken during this ritual, at the end of which the reserved sacrament is placed in the tabernacle. 1 Corinthians 11:27-29 affirms that people in a state of mortal sin cannot participate in this ritual until they have undergone penance.  The doctrine of transubstantiation concerns this sacrament, which acts as a reenactment of the Last Supper. For 10 points, name this sacrament in which unleavened bread wafers and wine transform into the flesh and blood of Christ.",Eucharist
"This god is associated with the calendar year “One Reed.” In some depictions, this god carries a piece of conch shell called the “wind-jewel.” This god’s rival tricked him into drinking the alcoholic beverage pulque​, after which he slept with his sister. This god self-mutilated to provide the blood that resurrected the ​fifth version of mankind from the bones of the fourth. In one myth, this god’s heart became the morning star after he immolated himself. This god was the twin brother of the psychopomp Xolotl. For 10 points, name this Aztec god who feuded with Tez·cat·li·po·ca and took the form of a feathered serpent.",Quetzalcoatl
"The effect of entrainment velocity on this force is depicted in the Stribeck curve. Sixty-four over the Reynolds number gives a factor named for Darcy and this force. For a stationary block on an inclined plane, this force’s magnitude equals the product of g, the mass of the block, and the cosine of the angle of incline. The​ arctangent of the angle of repose is equal to a value related to this force. This force can be reduced by ball bearings and comes in “kinetic” and “static” forms. For 10 points, name this force between two contacting bodies that opposes motion.",Friction
"One system developed by this thinker relies on whether things are ""said-of"" and ""present-in."" This thinker laid out ten basic types of things that are said in his work Categories, which comprises the first book in his collection Organon. He argued in favor of subjugating “natural slaves” as part of his theory of war, possibly encouraging the conquests of his most famous student. This man defined a certain branch of philosophy as “being qua being” in the follow-up to his treatise Physics. For 10 points, name this ancient Greek philosopher, the author of Metaphysics and Nicomachean Ethics and tutor of Alexander the Great.",Aristotle
"​This author wrote about parents who named their twins by choosing words from the Bible, causing one to be named “First Corinthians.” In another novel by this author, the pedophile Soaphead Church convinces the protagonist to feed poisoned meat to her landlord’s dog. This author wrote about a girl who believes that nursing from a bloody breast made her immune to a ​ghost’s malice. In a novel by this author, Pecola Breedlove goes insane yearning for the title feature. In another work, this author wrote about the haunting of 124 Bluestone Road by the title character, who was killed by her mother, Sethe. For 10 points, name this author of ​The Bluest Eye​ and ​Beloved.​",Toni_Morrison
"A piano piece by this composer includes a controversial instruction to play the whole first movement “senza sordino”​, i.e. with the pedal down. A late C-minor sonata by this composer uses insane time signatures like 12/32 ​in its closing “Arietta.” Sections marked “Grave” and “Allegro di molto e con brio” ​alternate in the first movement of this composer’s Piano Sonata number ​8 in C minor. This composer’s virtuoso sonatas have nicknames like “Waldstein” ​and “Hammerklavier.” A C-sharp-minor piano sonata by this composer is subtitled ​quasi una fantasia.​ For 10 points, name this composer of thirty-two piano sonatas, with nicknames like “Pathétique” and “Moonlight.”",Ludwig_van_Beethoven
