"text","page"
"This thinker devised a thought experiment wherein two figures communicate using only the words block, pillar, slab, and beam. In one of his works, he made use of notation including the propositional variable p and the formal operation N of xi. This thinker introduced the aforementioned language-games in his Philosophical Investigations. Another of his works consists of seven propositions and their corollaries about the nature of facts and logic, including ""The world is everything that is the case"" and ""What we cannot speak of, we must pass over in silence."" For 10 points, name this Austrian philosopher and author of Tractatus Logico-Philosophicus.","Ludwig_Wittgenstein"
"In one work, this thinker distinguishes between the juridical state of nature and the ethical state of nature, claiming that abandoning the latter in favor of an ""ethical commonwealth"" is necessary for overcoming his notion of ""radical evil,"" and another work defines the title concept as ""man's emergence from his self-imposed immaturity."" In addition to Religion Within the Limits of Reason Alone and ""An Answer to the Question: What is Enlightenment?""  he wrote Prolegomena to Any Future Metaphysics two years after his most famous work, which discusses the possibility of synthetic a priori knowledge. FTP, identify this philosopher, author of Critique of Pure Reason.","Immanuel_Kant"
"Section VI, ""Of Probability"" argues that there is a concept of probability as distinct from that of Chance, which the author attributes to an ignorance of causes.  In ""Of Liberty and Necessity"", the author advances the compatiblist doctrine of free will, while the work begins by drawing the distinction between ideas and impressions. Containing tangential sections on the analogy between human and animal reason as well as a refutation of divine force in the world,""Of Miracles"", this is FTP, what 1748 work,  a shorter version of the author's Treatise of Human Nature, written by David Hume.","An_Enquiry_Concerning_Human_Understanding"
"This thinker derisively claimed ""the libertarian is the only believer in causation"" at the opening of his early essay ""The Ego as Cause."" In other works, he wrote a chapter entitled ""The United States, Incorporated"" which imagined corporate takeover, and wrote about the ""free play of intelligence."" He advocated making ""nature and the science of nature the willing servants of human good,"" and stated that communication is the key to turning the ""Great Society"" into a ""Great Community."" His namesake Commission included men like Carleton Beals and investigated Soviet charges against Leon Trotsky. This author of ""What Humanism Means to Me"" wrote the previous book to rebut the claims of Walter Lippmann, who held that ""the public"" was a phantom. FTP, name this author of The Quest for Certainty, an American philosopher who wrote all kinds of works on democracy and education.","John_Dewey"
"One section of this work describes a shepherd named Gyges who commits unethical acts after he discovers a ring that grants him invisibility. This work describes the Sun as being the child of the Form of the Good in detailing an ideal society ruled by philosopher kings. One part of this work describes a group of men who watch the shadows a fire casts on a wall and mistakes them for reality. That section is known as the Allegory of the Cave. For 10 points, name this philosophical by Plato that describes the city state.","Republic_(Plato)"
"This philosopher argued complex ideas, such as modes, substances, and relations, are created by combining, comparing, or abstracting simple ideas. He claimed people have the natural right to objects they mix their labor with in his book outlining a theory of government's based on the protection of private property, his Second Treatise on Government. He distinguished between the primary and secondary qualities of objects in his Essay Concerning Human Understanding. For 10 points, name this British philosopher who argued that the mind was a tabula rasa, or blank slate.","John_Locke"
"This French author of Meditations on First Philosophy and Discourse on Method resolved his doubts with the proposition ""I think, therefore I am."" He also invented coordinate graphing. For 10 points, name this philosopher known for his namesake coordinate plane.","René_Descartes"
"His first book criticized the rationality of Euripedes' works, preferring the contrast between Apollonian and Dionysian in Aeschylus and Sophocles. This writer critiqued Christianity as a slave morality in works such as Beyond Good And Evil, and included a chapter entitled ""Why I Write Such Good Books"" in his autobiography Ecce Homo. For 10 points, name this German philosopher who declared ""God is dead"" in The Gay Science and imagined an ""Ubermensch"" in Also Sprach Zarathustra.","Friedrich_Nietzsche"
"Derek Parfit's ""repugnant conclusion"" argues against this school of thought by showing that it implies the need to populate the earth with as many humans as physically possible. One of the originators of this philosophy explained it using the ""felicific calculus"" in An Introduction to the Principles of Morals and Legislation. It was later expanded upon in a namesake book of John Stuart Mill. For 20 points, name this school of thought whose originator, Jeremy Bentham, explained it as advocating ""the greatest good for the greatest number.""","Utilitarianism"
"One work by this thinker responds to Kant's innatist view of time with the concept of the ""specious present,"" of which all longer periods of time are mere extrapolations. This thinker expounded the idea that illusions are merely habitual responses in a work that discusses the title discipline's methods of (+) analysis, introspection, experiment, and comparison. He claimed that we do not run from a bear because we are scared, but that we are scared because we run, in his theory of emotions. He likened George Fox to El Greco in his Gifford Lectures, which discuss the (*) Varieties of Religious Experience. For 10 points, name this philosopher who wrote Principles of Psychology and Pragmatism.","William_James"
"In one lecture, this thinker described his resolution of a debate about a man chasing a squirrel around a tree. This man wrote an essay that describes a reasonable way to think something is true without proper evidence called ""The Will to Believe."" This man contracted to write a textbook that resulted in his writing the two-volume work, (*) The Principles of Psychology. For 10 points, name this American philosopher who used the work of Charles Sanders Peirce (""purse"") to develop the philosophy of pragmatism.","William_James"
"This thinker divided philosophers into ""tough-minded"" and ""tender-minded"" categories. In one essay, this man analyzed an argument over whether a man chasing a squirrel around a tree is going around the squirrel. This thinker defined truth as ""what is useful"" in a book subtitled, ""A New Name for Some Old Ways of Thinking."" For 10 points, name this American philosopher, the author of Pragmatism and The Principles of Psychology.","William_James"
"This man states that morality has a ""foothold in the universe"" in his essay ""The Moral Philosopher and the Moral Life,"" which appears in a collection with an essay using the example of having faith in crossing a ledge. This man cast aside the notion of a succession of ideas in favor of a ""stream of consciousness"" (*) in addition to arguing that the focus of spirituality should lie in what he termed religious ""genius."" Another of his works contrasts the ""religion of healthy-mindedness"" with ""the sick soul."" The most famous work by this author of ""The Will to Believe"" suggests that one ought to value truth only so much as it is useful. For 10 points, identify this author of The Varieties of Religious Experience and Pragmatism.","William_James"
"He rebutted the moralist views of W.K. Clifford in an essay which categorizes live, forced, and momentous options. He's the first namesake of a theory which states that emotions result from the perception of a physiological stimulus, rather than emotions preceding autonomic responses. One of his essays asks whether a man chasing a squirrel around a tree is by definition ""going round"" the squirrel. This author of ""The Will to Believe"" and The Principles of Psychology argued that ""truth"" is only what is most expedient to believe. He collected his Gifford Lectures at Edinburgh as The Varieties of Religious Experience, and his Lowell lectures were collected as a work which shares its name with a movement started by C.S. Peirce. For 10 points, name this American philosopher who wrote Pragmatism.","William_James"
"A collection by this author includes a section arguing that a single experience can be part of two minds, and replies to Waler Pitkin's charges that the titular approach is solopsistic.  In addition to this author's Essays in Radical Empiricism, another work by this author contrasts the ""mind-cure movement"" and ""hell-fire theology"" and describes a group that seeks to provide a ""state of assurance."" A work by this author includes a chapter on the ""stream of thought"" and opposes Wilhelm Wundt, and another work by this author is subtitled ""a new way for some old ways of thinking"" and described a man who chases a squirrel around a tree. For 10 points, identify this author of The Varieties of Religious Experience, Principles of Psychology, and Pragmatism.","William_James"
"This thinker analyzed Lecretius, Dante, and Goethe in Three Philosophical Poets. In one work, he argues that consciousness is based in ""instances of awareness."" That work also argues that philosophy must begin in media res. Another of this man's works categorizes existence into matters of essence, matter, truth, and spirit. He wrote the bestselling novel (*) The Last Puritan, as well as Scepticism and the Animal Faith and The Realms of Being. For 10 points, name this philosopher whose Life of Reason asserts ""those who cannot remember the past are doomed to repeat it.""","George_Santayana"
"One work by this thinker responds to Kant's innatist view of time with the concept of the ""specious present,"" of which all longer periods of time are mere extrapolations. This thinker expounded the idea that illusions are merely habitual responses in a work that discusses the title discipline's methods of (+) analysis, introspection, experiment, and comparison. He claimed that we do not run from a bear because we are scared, but that we are scared because we run, in his theory of emotions. He likened George Fox to El Greco in his Gifford Lectures, which discuss the (*) Varieties of Religious Experience. For 10 points, name this philosopher who wrote Principles of Psychology and Pragmatism.","William_James"
"This author of ""On Denoting"" described the reasoning behind his atheism in the lecture ""Why I Am Not a Christian."" That a set containing all sets not members of themselves cannot be a member of itself is known as this man's paradox. For 10 points, name this English philosopher who collaborated with Alfred North Whitehead on the three volume Principia Mathematica.","Bertrand_Russell"
"This thinker published a series of letters containing child rearing advice as Some Thoughts Concerning Education. As a secretary to the Earl of Shaftesbury, this man drafted the short lived Fundamental Constitutions of Carolina. His theories of ""government with the consent of the governed"" and individual rights to life, liberty, and property, informed the U.S. founding fathers. For 10 points, name this English philosopher.","John_Locke"
"In one work, this thinker used the characters of Theophilius and Philalethe to rebut John Locke. This author of New Essays on Human Understanding claimed that evil was reconcilable with god in Théodicée, in which he claimed that this is the best of all possible worlds. For 10 points, name this philosopher who wrote the Monadology and invented calculus independent of Isaac Newton.","Gottfried_Wilhelm_Leibniz"
"This thinker wrote about the effect of ""animal spirits"" upon the human mind in a work that delineates a type of emotion that is prompted from an external source, his Passions of the Soul. He outlined his view of mind-body dualism in such works as his Meditations on First Philosophy. For 10 points, name this French thinker who worked extensively in developing early geometry and proclaimed ""I think, therefore I am.""","René_Descartes"
"This writer opened one work with a description of a banquet entitled ""In Vino Veritas."" The ""Diapsalmata"" and ""Diary Of A Seducer"" are found in an earlier work which contrasted two spheres of existence, the aesthetic and ethical. Another work by this author of Stages On Life's Way used the ""knight of faith"" and (*) Abraham's sacrifice of Isaac to argue for a ""teleological suspension of the ethical"". For 10 points, name this Danish philosopher of Either/Or and Fear And Trembling.","Søren_Kierkegaard"
"In one work, this philosopher notes that people who fence off land are the founders of ""civil society."" Another of his works was censured for its inclusion of the ""Profession of the Savoyard Priest"" and for its mention of Sophie, the title character's bride-to-be. His best known work describes the relinquishing of sovereignty in the title (*) agreement and proclaims ""Man is born free, and everywhere he is in chains."" For 10 points, identify this French philosopher who penned Discourse on Inequality, Emile, and The Social Contract.","Jean-Jacques_Rousseau"
"This philosopher argued that a large number of religious groups decreases civil unrest in A Letter Concerning Toleration. In the first part of another work, he attacks Robert Filmer's defense of a king's divine right. He also posited that the human mind at birth is a blank slate, or a (*) tabula rasa. For 10 points, name this English Enlightenment philosopher, the author of Two Treatises of Government and An Essay Concerning Human Understanding.","John_Locke"
"This thinker divided the passions into ""irascible"" and ""concupiscible"" categories. This author of Contra Errores Graecorum wrote one of his works to convert non-Christians by philosophical argument. Another work by this author of the Summa Contra Gentiles contains five arguments for the existence of God and unites Christian theology with an (*) Aristotelian worldview. For 10 points, name this Italian theologian who wrote the Summa Theologiae.","Thomas_Aquinas"
"In one work, this thinker divided the economic and cultural aspects of a society into the ""base"" and ""superstructure."" He described the inevitable alienation that occurs when people are separated from the products of their labor, and labeled the practice of adding superficial value to goods as ""commodity fetishism."" This German philosopher described the ""history of all hitherto existing society"" as ""the history of (*) class struggles."" For 10 points, name this collaborator with Fredreich Engels on Das Kapital and The Communist Manifesto.","Karl_Marx"
"An 1874 book by Henry Sidgwick purports to describe ""the methods"" of these, and Simone de Beauvoir wrote a short treatise about those ""of ambiguity."" G.E. Moore's best known work also references them, while a philosophical work titled after them contains the section ""Of Human Bondage"" and is laid out as a series of (*) geometric axioms; that work was written by Baruch Spinoza. For 10 points, give this term that describes the branch of philosophy that deals with the existence of morality.","Ethics_(Spinoza)"
"This thinker was succeeded by Theophrastus (THEE-oh-FRASS-tuss) as leader of his school. Commentaries on his work form the bulk of the philosophy of Averroes (AH-vuh-ROE-ess). He named his major work on ethics after his son, and he put forth the ""impetus"" theory of motion in his Physics. This leader of the Peripatetic school was a (*) tutor of Alexander the Great, and himself was a student of Plato. For 10 points, name this ancient Greek, whose Politics and Nichomachean Ethics are foundational texts of philosophy.","Aristotle"
"This philosopher imagined a ""kingdom of ends"" in which one of his concepts was always acted upon. He urged readers to ""act only according to that maxim whereby you can at the same time will that it should become a universal law"" in his (*) Groundwork for the Metaphysics of Morals, which formulated his ""categorical imperative."" This thinker combined the categories of a priori and a posteriori with those of the analytic and synthetic. For 10 points, name this German philosopher who wrote the Critique of Pure Reason.","Immanuel_Kant"
"This philosopher argued that people gain property rights over an object by mixing their labor with it. His major work coined the phrase ""association of ideas"" and distinguished between an object's primary qualities, which are independent of perception, and its secondary qualities, such as color, which are caused by perception. In that work, this author argued against innate ideas, holding that the mind is a (*) ""tabula rasa,"" or blank slate. For 10 points, name this British empiricist who wrote Two Treatises on Government and An Essay Concerning Human Understanding.","John_Locke"
"This man wrote a biography of the Luccan ruler Castruccio Castracani and completed a seven chapter treatise on The Art of War. He asserted the primacy of the republic over other forms of government in his Discourses on Livy. Another work by this man notes that ""armed prophets have been victorious, and all unarmed prophets have been destroyed"" and warns that ""it is much safer to be (*) feared than loved."" For 10 points, name this Florentine historian and philosopher and author of The Prince.","Niccolò_Machiavelli"
"In one work, this man argued through his Copy Principle that all simple ideas originate from simple impressions, only to provide a counter-example by describing a missing shade of blue. In that same work by this philosopher, the phrase ""a violation of the laws of nature"" is used to define a concept in the chapter ""Of (*) Miracles."" For 10 points, name this Scottish philosopher who supported the philosophy of empiricism in his works, which included A Treatise of Human Nature and An Enquiry concerning Human Understanding.","David_Hume"
"The consequences of this philosophy title a work by Richard Rorty. One proponent of this philosophy seeks the ""cash value"" of truths in a work that delineates the ""tender-""and ""tough-minded"" types of it with the example of a man chasing a squirrel around a tree. Its founders include Charles Sanders Peirce (""PURSE"") and John Dewey. It was described as ""A New Name for Some Old Ways of Thinking"" in an eponymous essay by William (*) James. For 10 points, name this philosophy that measures value with practical consequences.","Pragmatism"
"This man published a 1629 translation of Thucydides' History of the Peloponnesian War into English. This man's works De Corpore, De Homine, and De Cive were to be part of this man's Elements of Philosophy. He described the causes of civil war in his book Behemoth; or, The Long Parliament. In another of his works, he described fear of violence as the reason for creating a state and described the natural state of men's lives as (*) ""nasty, brutish, and short."" For 10 points, name this British philosopher who wrote Leviathan.","Thomas_Hobbes"
"According to Timothy Williamson, this concept is unanalyzable. Plato's dialogue Theaetetus deals with the definition of this concept. Its propositional variety is distinguished from the procedural variety, and it can be classified as a priori or a posteriori. Gettier problems are used to argue against the traditional definition of this concept as (*) justified true belief. For 10 points, name this concept which is studied in epistemology.","Knowledge"
"This thinker compared experimenters to ants and dogmatists to spiders, concluding that the true philosopher should emulate the bee. He wrote a novel about a group of Europeans who find the college Salomon's House on the island of Bensalem. This author of (*) The New Atlantis argued that thinkers should purge themselves of the ""Idols of the Theater"" in a book outlining the scientific method. For 10 points, name this 17th-century philosopher, who wrote the Novum Organum.","Francis_Bacon"
"As an Oxford student, this man collaborated with Robert Boyle to study the nature of human blood. He rebuked theologians who engaged in bitter debates over abstruse issues in his The Reasonableness of Christianity and advocated an end to persecution of Catholics in his Letter Concerning Toleration. This author of a ""fundamental constitution"" for the (*) Carolina colonies said that property rights derive from ""mixing labor"" with the land and advocated the protection of those rights with a social contract in the second part of his response to Robert Filmer's argument for the divine right of kings. For 10 points, name this author of Two Treatises on Government whose individual rights philosophy greatly influenced the American Founding Fathers.","John_Locke"
"This man denounced the anti-semitism of a composer he had earlier praised. A work by this man contrasted Apollonian and Dionysian forms of the title entity's creation in ancient Greece. A parable by this man in The Gay Science tells of a man who breaks a lantern after informing a crowd that they are murderers. That madman's claim that (*) ""God is dead"" is expounded in a work that contains a Persian prophet returning from the mountains. For 10 points, name this German philosopher of Thus Spake Zarathustra.","Friedrich_Nietzsche"
"One argument put forward by this man considers a man looking at every possible shade of a certain color and seeing a blank at one point. That idea of the ""missing shade of blue"" can be found in this man's ""Of the Origins of Ideas."" Another work by this man features Demea, Philo, and Cleanthes debating the existence of God. Immanuel (*) Kant credited this author of Dialogues Concerning Natural Religion for awakening him from a ""dogmatic slumber.""For 10 points name this Scottish philosopher and writer of An Enquiry Concerning Human Understanding.","David_Hume"
"This thinker was ridiculed by the newspaper The Corsair, and near the end of his life he attacked the bishop H.L. Martensen in several letters. This author of The Concept of Anxiety presented three forms of despair in his Sickness unto Death, which he wrote under the pseudonym Anti-Climacus. He contrasts the aesthetic and ethical ways of life in his book (*) Either/Or, while another work by him centers on Abraham's decision to sacrifice his son Isaac. For 10 points, name this Danish philosopher of Fear and Trembling.","Søren_Kierkegaard"
"He proposed three ""definitive articles"", including republican government, as a basis on which to end intra-national hostilities in his Perpetual Peace. He stated that the answer to the title question is ""man's emergence from his self-imposed immaturity"" in ""What is Enlightenment?"" This philosopher based his system of ethics on a set of three maxims known as the (*) categorical imperative. For 10 points, name this German philosopher of Critique of Judgment and Critique of Pure Reason.","Immanuel_Kant"
"This philosopher's rule-following paradox was elaborated on by Saul Kripke, and it occurs in a work featuring the ""beetle-in-a-box"" thought experiment and a discussion of the private language argument and duckrabbits. He published only one book in his lifetime, a set of seven propositions the final of which reads (*) ""Whereof one cannot speak, thereof one must be silent"". For 10 points, name this German philosopher influential in the development of logical positivism, who wrote Philosophical Investigations and Tratatus Logico-Philosophicus.","Ludwig_Wittgenstein"
