"text","page"
"Luigi Pasinetti created a mathematical system formalizing the growth theory of this thinker, a scholar of whom is J. H. Hollander. Piero Sraffa collected the works of this thinker, whom Robert Barro credited with influencing his suggestion that the timing of tax changes does not affect consumer spending. This man argued in one essay that raised tariffs on grain imports raised rents and lowered profits of manufacturers. He is credited with introducing the differential theory of rent and the law of diminishing returns. Later, this man with a namesake equivalence principle proposed his labor-embodied theory of value. For 10 points, name this author of The High Price of Bullion and Principles of Political Economy and Taxation who also came up with the idea of comparative advantage.","David_Ricardo"
"This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order. Three parts entitled ""The Value of Freedom,"" ""Freedom and the Law,"" and ""Freedom in the Welfare State"" comprise his The Constitution of Liberty, which he appended with the postscript ""Why I am Not a Conservative."" For 10 points, name this Austrian-born economist who used Nazi Germany and the Soviet Union as examples of arguing that collectivism tends to lead to tyranny in The Road to Serfdom.","Friedrich_Hayek"
"One work by this writer introduces the idea of ""postfigurative, cofigurative and prefigurative"" societies. This writer's autobiography takes its name from a regional expression for a late cold spell that ruins a certain crop. The most vocal critic of this writer's work has attacked a commitment to write ""for the Bishop Museum"" and this writer's relationship with Dr. Charles Lane. Those attacks have come in books that describe ""the Making and Unmaking of an Anthropological Myth"" and this writer being subject to ""a Fateful Hoaxing."" Those attacks, launched by Derek Freeman, have claimed that this anthropologist misunderstood or was lied to by the teenage girls like Lola and Mala on the island of Ta'u. For 10 points, identify this author of Coming of Age in Samoa.","Margaret_Mead"
"One work by this man discusses how one is ""summoned"" by another rational individual and describes a system based on the ""civil contract,"" or Staatsbürgervertrag. This man responded to an attack by F.H. Jacobi with a work in which he is interrogated by a spirit regarding how he perceives external objects. This thinker attacked the first principle of dogmatism, arguing against the idea of ""intelligible fatalism,"" and instead defended a first principle involving the ""I,"" which ""posits itself absolutely."" This author of Foundations of Natural Right and The Vocation of Man also wrote a work which argues that God must be consistent with the moral law of Kant. For 10 points, name this German idealist who developed the Wissenschaftslehre and wrote An Attempt at a Critique of All Revelation.","Johann_Gottlieb_Fichte"
"The Tobin effect shows how this phenomenon encourages investors to place their money in real capital projects. Its ""built-in"" form comes from adaptive expectations and is part of Gordon's ""triangle model."" Tobin and Mundell showed that real economic effects can occur from expectation of this phenomenon, which can lead to inefficiencies from shoe-leather and menu costs. The existence of this phenomenon prevents a ""liquidity trap."" The Fisher hypothesis argues that the real interest rate is independent of this phenomenon, which is measured by changes in the GDP deflator or CPI. For 10 points, name this phenomenon, coming in ""cost-push"" and ""demand-pull"" varieties, which causes the consumer price index to rise as money becomes devalued.","Inflation"
"Both the Atkinson-Stiglitz Separability theorem and the Cortlett-Hague theorem relate this quantity for commodities to goods that are substitutable for leisure. The Lindahl form of this entity is employed in an equilibrium dependent on the personal marginal benefit of a public good. Christina and David Romer's recent study found the multiplier of a reduction in this entity to be roughly three. Ramsey developed an optimal set of rules based on the quantity demanded of each good to minimize total burden. Externalities can be limited by the Pigouvian type of them. Deadweight losses are caused by the imposition of, for 10 points, which financial charges collected by the government to finance the nation's budget?","Tax"
"This man referred to those living on Banks Islands when discussing the ""illusion"" of the title entity in one work, while he compares how various groups in British Columbia related to the title Swaihwe object in another work. This author also discussed the Jivaro in his The Jealous Potter, but this author of The Way of the Masks may be better remembered for opposing Radcliffe-Brown with his ""alliance theory"" and for writing a work that opens by discussing the story of ""The Macaws and Their Nest."" That work is part of a longer one which studies the transformation of South American folk tales. For 10 points, name this French structural anthropologist and author of Triste Tropiques, Elementary Structures of Kinship and Mythologiques, which includes The Raw and the Cooked.","Claude_Lévi-Strauss"
"Lionel McKenzie, Gerard Debreu, and this man are the namesakes of a basic model in general equilibrium theory, while the fundamental paradox that exists in the determination of demand for information was described in this economist's work Essays in the Theory of Risk-Bearing. This economist helped define measures of risk aversion with John Pratt, while state contingent claims, which pay out one unit in certain states, are known as him namesake type of securities and are used in analysis of security markets. The Gibbard-Satterthwaite theorem generalized the most famous claim made by this author of Social Choice and Individual Values. For 10 points, name this American economist who stated that Pareto efficiency, independence of irrelevant alternatives, and non-dictatorship are among the criteria that cannot all be satisfied in a ""fair"" voting system.","Kenneth_Arrow"
"Like Erik Erikson, this psychologist saw childhood as divided into periods separated by crises, though this psychologist used age rather than ideas as a basis. That idea, found in his The Problem of Age, succeeded another which described consciousness as based on reflex. In a more well-known theory, this psychologist described how children merely think out loud, while adults utilize an extremely complex mental speech in his discussion of what he termed internal language. This psychologist also developed a model which assists the development of childhood skill by giving tasks that are within the zone of proximal development. For 10 points, name this author of Thought and Language, a Russian psychologist.","Lev_Vygotsky"
"This thinker argued that lazy children are fulfilling their desires when they are scolded in a work that proceeds to discuss how similar they are to children that feign sickness in one work. Another of his works on children concluded that the second born child is likely to be revolutionary, but the one with the least amount of personality defects. The Philosophy of ""As If"" provided a term that would be central to this the reputation of this philosopher,who put forth three factors – pampering, neglect, and ""organ dysfunction"" that gives rise to personality problems. The author of Understanding Human Nature, this man coined the term ""individual psychology"" in another of his works. For 10 points, name this author of The Neurotic Constitution that coined the term ""inferiority complex"".","Alfred_Adler"
"In one of this man's experiments, he had a group of people feed dialogue to a student interacting with another person, who did not realize he was talking to multiple personalities. That experiment coined the term ""cyranoid"". In another of his experiments, he had groups watch an episode of Medical Center with different endings to see if a more violent ending would cause violent behavior. He sent packages to people in Omaha, Nebraska, seeing if they could eventually pass the packages on to Boston. This ""small world"" experiment reportedly showed there were ""six degrees of separation"". His most famous experiment was conducted at Yale University and was inspired by the trial of Adolf Eichmann. For 10 points, name this psychologist who conducted an experiment in which ordinary people demonstrated their obedience to authority by administering seemingly painful electric shocks to victims.","Stanley_Milgram"
"One of this man's works describes how labor leaders all eventually abandon their oppositional outlook against management, and adapt to work within the confines of the capitalist structure. In one of his works, he described sociology as the natural extension of human history and biography, and criticizes Talcott Parsons' grand theory for divorcing sociology from individuals. In his best-known work, this author describes how the title class of people reproduces itself by admitting new members based on how well they clone themselves after existing members. Those people include the military-industrial complex. For 10 points, name this sociologist who wrote The New Men of Power, The Sociological Imagination, and The Power-Elite.","C._Wright_Mills"
"This man argues that residents of certain cities constituted no separate class in a book that discusses Wang Yangmin's treatment of Confucian li. In one essay, this sociologist analyzes the ""eternal past"" and legality of statutes to argue that the Christian notion of ""turning the other cheek"" does not suit politicians. This author described legal, traditional, and charismatic domination in The Three Types of Legitimate Rule. In addition to authoring Politics as a Vocation, this man described efficiency and control as factors by which people are put into an ""iron cage"". For 10 points, name this German sociologist who asserted that a certain denomination's hard work made them into wealthy businesspeople in The Protestant Ethic and the Spirit of Capitalism.","Max_Weber"
"In one essay by this man, he described the difficulty of formulating what he termed ""parallelistic hypotheses"". In that same essay, this man wrote about the influence of Pillsbury and called for a ""functionalist"" psychology. In one experiment by this psychologist, rats accustomed to running a certain distance in a maze began to crash into the walls when the corridor was shortened. Another more controversial experiment by this man involved striking a steel bar whenever the test subject touched a white rat, thus creating a fear of things that looked or felt like white rats. For 10 points, name this psychologist who wrote Psychology as the Behaviorist Views It, conducted the Kerplunk experiment and the Little Albert experiment, and who coined the term ""behaviorism"".","John_B._Watson"
"This thinker introduced his namesake triangles linking consumer spending and production time in his Prices and Production. He distinguished between thesis and nomos in the three-volume Law, Legislation, and Liberty. This organizer of the Mont Pelerin Society distinguished his outlook from the title one in ""Why I Am Not a Conservative."" One work by this author includes a chapter on ""The Socialist Roots of Naziism"" and warns against conditions leading to collectivization and the title oppression. For 10 points, name this Austrian economist who described the consequences of central planning in The Road to Serfdom.","Friedrich_Hayek"
"In one work, this author urged psychologists to stop using mentalistic constructs like defense mechanisms, homunculi, and the two title concepts. In another work, he distinguished internal speech, or autoclitics, from the four types of regular speech: echoic behavior, mands, tacts, and interverbals. He wrote a novel demonstrating a community founded by T. E. Frazier according to this man's theory. This psychologist delivered reinforcing stimuli to creatures in his namesake box during operant conditioning. For 10 points, name this behaviorist who wrote Verbal Behavior, Beyond Freedom and Dignity, and Walden Two.","B._F._Skinner"
"This thinker objected to Descartes's ideas about the transcendence of God and the existence of human free will in his explanation of Principles of Philosophy. One of his works begins with definitions, axioms, and fifteen propositions about the nature of God, the only substance in the universe. In another, he denies that Moses wrote the entire Torah, and insists on a close, critical reading of Scripture in distinguishing between Jewish divine and ceremonial law. For 10 points, name this author of the Tractatus Theologico-Politicus who was excommunicated from the Jewish community of Amsterdam before writing Ethics.","Baruch_Spinoza"
